c0;c1;c2;c3
---Session;start;old0;
32166;12:00:00;17/01/2020;
21476;12:00:00;17/01/2020;
25611;12:00:00;17/01/2020;
21811;12:00:00;17/01/2020;
28583;12:00:00;17/01/2020;
26015;12:00:00;17/01/2020;
22946;12:00:00;17/01/2020;
28819;12:00:00;17/01/2020;
22390;12:00:00;17/01/2020;
34340;12:00:00;17/01/2020;
33286;12:00:00;17/01/2020;
29660;12:00:00;17/01/2020;
25307;12:00:00;17/01/2020;
24060;12:00:00;17/01/2020;
19899;12:00:00;17/01/2020;
25206;12:00:00;17/01/2020;
27121;12:00:00;17/01/2020;
26133;12:00:00;17/01/2020;
56889;12:00:00;17/01/2020;
29227;12:00:00;17/01/2020;
30970;12:00:00;17/01/2020;
23681;12:00:00;17/01/2020;
27421;12:00:00;17/01/2020;
24969;12:00:00;17/01/2020;
23848;12:00:00;17/01/2020;
49044;12:00:00;17/01/2020;
28725;12:00:00;17/01/2020;
25028;12:00:00;17/01/2020;
23087;12:00:00;17/01/2020;
29476;12:00:00;17/01/2020;
19974;12:00:00;17/01/2020;
26344;12:00:00;17/01/2020;
36505;12:00:00;17/01/2020;
32691;12:00:00;17/01/2020;
35913;12:00:00;17/01/2020;
27492;12:00:00;17/01/2020;
23415;12:00:00;17/01/2020;
37762;12:00:00;17/01/2020;
---Session;end;old6;
---Session;start;old7;
28540;12:00:00;18/01/2020;
23380;12:00:00;18/01/2020;
23881;12:00:00;18/01/2020;
28230;12:00:00;18/01/2020;
29723;12:00:00;18/01/2020;
22057;12:00:00;18/01/2020;
28796;12:00:00;18/01/2020;
40523;12:00:00;18/01/2020;
22847;12:00:00;18/01/2020;
26348;12:00:00;18/01/2020;
25606;12:00:00;18/01/2020;
28299;12:00:00;18/01/2020;
18747;12:00:00;18/01/2020;
26645;12:00:00;18/01/2020;
27157;12:00:00;18/01/2020;
28372;12:00:00;18/01/2020;
31336;12:00:00;18/01/2020;
29852;12:00:00;18/01/2020;
24723;12:00:00;18/01/2020;
30910;12:00:00;18/01/2020;
23442;12:00:00;18/01/2020;
24742;12:00:00;18/01/2020;
22665;12:00:00;18/01/2020;
24095;12:00:00;18/01/2020;
21889;12:00:00;18/01/2020;
41863;12:00:00;18/01/2020;
22993;12:00:00;18/01/2020;
25679;12:00:00;18/01/2020;
23555;12:00:00;18/01/2020;
34163;12:00:00;18/01/2020;
23024;12:00:00;18/01/2020;
28967;12:00:00;18/01/2020;
25808;12:00:00;18/01/2020;
22328;12:00:00;18/01/2020;
26754;12:00:00;18/01/2020;
25531;12:00:00;18/01/2020;
32752;12:00:00;18/01/2020;
26967;12:00:00;18/01/2020;
24776;12:00:00;18/01/2020;
19791;12:00:00;18/01/2020;
27683;12:00:00;18/01/2020;
29138;12:00:00;18/01/2020;
23410;12:00:00;18/01/2020;
25197;12:00:00;18/01/2020;
29878;12:00:00;18/01/2020;
23610;12:00:00;18/01/2020;
24739;12:00:00;18/01/2020;
20894;12:00:00;18/01/2020;
28460;12:00:00;18/01/2020;
26399;12:00:00;18/01/2020;
32999;12:00:00;18/01/2020;
43899;12:00:00;18/01/2020;
32118;12:00:00;18/01/2020;
25233;12:00:00;18/01/2020;
25914;12:00:00;18/01/2020;
31866;12:00:00;18/01/2020;
26271;12:00:00;18/01/2020;
22659;12:00:00;18/01/2020;
24786;12:00:00;18/01/2020;
32852;12:00:00;18/01/2020;
29252;12:00:00;18/01/2020;
22053;12:00:00;18/01/2020;
26479;12:00:00;18/01/2020;
28724;12:00:00;18/01/2020;
24783;12:00:00;18/01/2020;
28064;12:00:00;18/01/2020;
25447;12:00:00;18/01/2020;
34929;12:00:00;18/01/2020;
21340;12:00:00;18/01/2020;
29559;12:00:00;18/01/2020;
30716;12:00:00;18/01/2020;
28689;12:00:00;18/01/2020;
29893;12:00:00;18/01/2020;
29093;12:00:00;18/01/2020;
26001;12:00:00;18/01/2020;
25395;12:00:00;18/01/2020;
27762;12:00:00;18/01/2020;
25758;12:00:00;18/01/2020;
31743;12:00:00;18/01/2020;
23509;12:00:00;18/01/2020;
23963;12:00:00;18/01/2020;
22023;12:00:00;18/01/2020;
24051;12:00:00;18/01/2020;
19861;12:00:00;18/01/2020;
29310;12:00:00;18/01/2020;
29500;12:00:00;18/01/2020;
31308;12:00:00;18/01/2020;
25647;12:00:00;18/01/2020;
30082;12:00:00;18/01/2020;
21724;12:00:00;18/01/2020;
31363;12:00:00;18/01/2020;
22508;12:00:00;18/01/2020;
29778;12:00:00;18/01/2020;
49588;12:00:00;18/01/2020;
29286;12:00:00;18/01/2020;
41775;12:00:00;18/01/2020;
30507;12:00:00;18/01/2020;
28276;12:00:00;18/01/2020;
25908;12:00:00;18/01/2020;
24280;12:00:00;18/01/2020;
---Session;end;old7;
